Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
322,"S Ochmann, R Vock, R Wessel, R Klein",Automatic reconstruction of parametric building models from indoor point clouds,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849315001119,"https://scholar.google.com/scholar?cites=3403655048925380776&as_sdt=2005&sciodt=0,5&hl=en",4,2025-02-16 20:07:31,HTML,,,,,,,,322,35.78,81,4,9,We present an automatic approach for the reconstruction of parametric 3D building models from indoor point clouds. While recently developed methods in this domain focus on mere …,https://www.sciencedirect.com/science/article/pii/S0097849315001119,"https://scholar.google.com/scholar?q=related:qIAp0Ts2PC8J:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
169,"T Su, W Wang, Z Lv, W Wu, X Li",Rapid Delaunay triangulation for randomly distributed point cloud data using adaptive Hilbert curve,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849315001223,"https://scholar.google.com/scholar?cites=10083275598269098714&as_sdt=2005&sciodt=0,5&hl=en",6,2025-02-16 20:07:31,,,,,,,,,169,18.78,34,5,9,"Given the enormous scale and diverse distribution of 2D point cloud data, an adaptive Hilbert curve insertion algorithm which has quasi-linear time complexity is proposed to …",,"https://scholar.google.com/scholar?q=related:2qoxr7v97osJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
112,"M Li, L Nan, N Smith, P Wonka",Reconstructing building mass models from UAV images,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849315001077,"https://scholar.google.com/scholar?cites=12710567056884258542&as_sdt=2005&sciodt=0,5&hl=en",14,2025-02-16 20:07:31,,,,,,,,,112,12.44,28,4,9,We present an automatic reconstruction pipeline for large scale urban scenes from aerial images captured by a camera mounted on an unmanned aerial vehicle. Using state-of-the …,https://repository.kaust.edu.sa/bitstream/handle/10754/567059/urban_aerial.pdf?sequence=1&isAllowed=y,"https://scholar.google.com/scholar?q=related:7lZeD2UBZbAJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
108,"J Polvi, T Taketomi, G Yamamoto, A Dey, C Sandor, ...",SlidAR: A 3D positioning method for SLAM-based handheld augmented reality,2016,Computers & …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849315001806,"https://scholar.google.com/scholar?cites=15182468261507848639&as_sdt=2005&sciodt=0,5&hl=en",20,2025-02-16 20:07:31,HTML,,,,,,,,108,12.0,18,6,9,Abstract Handheld Augmented Reality (HAR) has the potential to introduce Augmented Reality (AR) to large audiences due to the widespread use of suitable handheld devices …,https://www.sciencedirect.com/science/article/pii/S0097849315001806,"https://scholar.google.com/scholar?q=related:v1nRlHH2stIJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
58,"Y Shi, P Long, K Xu, H Huang, Y Xiong",Data-driven contextual modeling for 3D scene understanding,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849315002009,"https://scholar.google.com/scholar?cites=3741965037732172125&as_sdt=2005&sciodt=0,5&hl=en",40,2025-02-16 20:07:31,,,,,,,,,58,6.44,12,5,9,"The recent development of fast depth map fusion technique enables the realtime, detailed scene reconstruction using commodity depth camera, making the indoor scene …",http://kevinkaixu.net/papers/shi_cag15_scene.pdf,"https://scholar.google.com/scholar?q=related:XRH1Q2Ah7jMJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
37,"O Argudo, A Chica, C Andujar",Single-picture reconstruction and rendering of trees for plausible vegetation synthesis,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300188,"https://scholar.google.com/scholar?cites=7531587991987279833&as_sdt=2005&sciodt=0,5&hl=en",51,2025-02-16 20:07:31,,,,,,,,,37,4.11,12,3,9,"State-of-the-art approaches for tree reconstruction either put limiting constraints on the input side (requiring multiple photographs, a scanned point cloud or intensive user input) or …",,"https://scholar.google.com/scholar?q=related:2df_6F-ThWgJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
45,"Y Zhang, G Geng, X Wei, S Zhang, S Li",A statistical approach for extraction of feature lines from point clouds,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300097,"https://scholar.google.com/scholar?cites=5123610498806812031&as_sdt=2005&sciodt=0,5&hl=en",60,2025-02-16 20:07:31,,,,,,,,,45,5.0,9,5,9,This paper firstly introduces the use of a statistical model based on the Poisson distribution as a tool for extracting feature points from point clouds. When the features on a model are …,,"https://scholar.google.com/scholar?q=related:f43XRJq4GkcJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
55,"Y Zhang, J Cao, Z Chen, X Li, XM Zeng",B-spline surface fitting with knot position optimization,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S009784931630053X,"https://scholar.google.com/scholar?cites=15999968311064519428&as_sdt=2005&sciodt=0,5&hl=en",61,2025-02-16 20:07:31,,,,,,,,,55,6.11,11,5,9,"In linear least squares fitting of B-spline surfaces, the choice of knot vector is essentially important to the quality of the approximating surface. In this paper, a heuristic criterion for …",https://www.sciencedirect.com/science/article/am/pii/S009784931630053X,"https://scholar.google.com/scholar?q=related:BOOBTmhOC94J:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
41,"Z Xi, YH Kim, YJ Kim, JM Lien",Learning to segment and unfold polyhedral mesh from failures,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849316300656,"https://scholar.google.com/scholar?cites=5726785589809929087&as_sdt=2005&sciodt=0,5&hl=en",69,2025-02-16 20:07:31,,,,,,,,,41,4.56,10,4,9,"Folding planar sheets to make 3D shapes from is an ancient practice with many new applications, ranging from personal fabrication of customized items to design of surgical …",https://www.sciencedirect.com/science/article/am/pii/S0097849316300656,"https://scholar.google.com/scholar?q=related:f1ty8SaheU8J:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
47,"A Semmo, D Limberger, JE Kyprianidis, J Döllner",Image stylization by interactive oil paint filtering,2016,Computers & Graphics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0097849315002083,"https://scholar.google.com/scholar?cites=6268941106812345001&as_sdt=2005&sciodt=0,5&hl=en",71,2025-02-16 20:07:31,,,,,,,,,47,5.22,12,4,9,"This paper presents an interactive system for transforming images into an oil paint look. The system comprises two major stages. First, it derives dominant colors from an input image for …",https://www.researchgate.net/profile/Amir-Semmo/publication/289694790/inline/jsViewer/5a38e88a458515919e727ede,"https://scholar.google.com/scholar?q=related:qdpk7bjA_1YJ:scholar.google.com/&scioq=source:computers+source:graphics&hl=en&as_sdt=0,5&as_ylo=2016&as_yhi=2020"
